iter	Passed	Remaining
0	1	122
1	2	122
2	3	121
3	4	117
4	6	115
5	7	112
6	8	110
7	9	109
8	10	107
9	11	106
10	13	105
11	14	104
12	15	103
13	16	101
14	17	100
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	91
21	25	90
22	26	89
23	27	88
24	29	87
25	30	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	70
39	46	69
40	47	67
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	77	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	96	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
